nombre,categorias,lanzamiento,reseñas,total_reseñas,precio,link
Dome Keeper,Un jugadorPosapocalípticosRoguelikeAcciónCiencia ficción,27 SEPT 2022,Muy positivas,| 10.532 Reseñas de usuarios,"-60%
$9.29
$3.71",https://store.steampowered.com/app/1637320/Dome_Keeper?snr=1_241_4_action_salebrowseall
South Park™: The Stick of Truth™,RolComediaAventuraDivertidosPor turnos,4 MAR 2014,Extremadamente positivas,| 49.774 Reseñas de usuarios,"-75%
$23.99
$5.99",https://store.steampowered.com/app/213670/South_Park_The_Stick_of_Truth?snr=1_241_4_action_salebrowseall
Lost Castle 2,MultijugadorRoguelike de acciónRogueliteAcciónCooperativos en línea,25 JUL 2024,Variadas,| 1.970 Reseñas de usuarios,"NUEVOS
-10%
$7.99
$7.19",https://store.steampowered.com/app/2445690/Lost_Castle_2?snr=1_241_4_action_salebrowseall
Snowbreak: Containment Zone,Disparos en tercera personaAnimeRolDisparosAcción,25 DIC 2023,Muy positivas,| 4.532 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/2668080/Snowbreak_Containment_Zone?snr=1_241_4_action_salebrowseall
Diablo® IV,Rol de acciónHack and SlashBotínRolIsométricos,17 OCT 2023,Mayormente positivas,| 20.450 Reseñas de usuarios,$49.99,https://store.steampowered.com/app/2344520/Diablo_IV?snr=1_241_4_action_salebrowseall
Palworld,Mundo abiertoMultijugadorSupervivenciaColeccionista de criaturasFabricación y supervivencia en mundo abierto,19 ENE 2024,Muy positivas,| 269.921 Reseñas de usuarios,$14.99,https://store.steampowered.com/app/1623730/Palworld?snr=1_241_4_action_salebrowseall
Dead Island 2,ZombisCooperativosGorePrimera personaAcción y aventura,22 ABR 2024,Mayormente positivas,| 5.473 Reseñas de usuarios,"-50%
$44.99
$22.49",https://store.steampowered.com/app/934700/Dead_Island_2?snr=1_241_4_action_salebrowseall
"Warhammer 40,000: Space Marine 2",Warhammer 40KAcciónAventuraAcción y aventuraDisparos en tercera persona,9 SEPT 2024,,,"Precompra
$34.99",https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2?snr=1_241_4_action_salebrowseall
Ready or Not: Home Invasion,TácticosRealistasDisparos en primera personaDisparosMultijugador,23 JUL 2024,Variadas,| 1.077 Reseñas de usuarios,"NUEVOS
$5.79",https://store.steampowered.com/app/3015760/Ready_or_Not_Home_Invasion?snr=1_241_4_action_salebrowseall
Assassin's Creed® Unity,Mundo abiertoParkourAsesinosCooperativosSigilo,11 NOV 2014,Mayormente positivas,| 61.026 Reseñas de usuarios,"-75%
$23.99
$5.99",https://store.steampowered.com/app/289650/Assassins_Creed_Unity?snr=1_241_4_action_salebrowseall
Resident Evil 4,TerrorAcciónSupervivencia terroríficaDisparos en tercera personaZombis,23 MAR 2023,Extremadamente positivas,| 90.669 Reseñas de usuarios,"-25%
$29.99
$22.49",https://store.steampowered.com/app/2050650/Resident_Evil_4?snr=1_241_4_action_salebrowseall
REMNANT II®,"Tipo ""Dark Souls""AcciónAventuraCooperativosRol",25 JUL 2023,Muy positivas,| 36.426 Reseñas de usuarios,"-50%
$59.99
$29.99",https://store.steampowered.com/app/1282100/REMNANT_II?snr=1_241_4_action_salebrowseall
Into the Radius 2,Disparos en primera personaRVAventuraAcciónDisparos,24 JUL 2024,Mayormente positivas,| 1.140 Reseñas de usuarios,"NUEVOS
-15%
$18.99
$16.14",https://store.steampowered.com/app/2307350/Into_the_Radius_2?snr=1_241_4_action_salebrowseall
Overwatch® 2,Free to PlayDisparos de héroeDisparos en primera personaMultijugadorBasados en equipos,10 AGO 2023,Extremadamente negativas,| 283.247 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/2357570/Overwatch_2?snr=1_241_4_action_salebrowseall
Bodycam,Disparos en primera personaRealistasDisparosMilitaresJcJ (PvP),7 JUN 2024,Mayormente positivas,| 19.353 Reseñas de usuarios,$17.99,https://store.steampowered.com/app/2406770/Bodycam?snr=1_241_4_action_salebrowseall
THE FINALS,DestrucciónFree to PlayDisparosDisparos en primera personaBasados en equipos,8 DIC 2023,Mayormente positivas,| 176.718 Reseñas de usuarios,Free to Play,https://store.steampowered.com/app/2073850/THE_FINALS?snr=1_241_4_action_salebrowseall
HITMAN World of Assassination,SigiloAsesinosAcciónUn jugadorRV,20 ENE 2022,Muy positivas,| 25.064 Reseñas de usuarios,"-90%
$14.99
$1.49",https://store.steampowered.com/app/1659040/HITMAN_World_of_Assassination?snr=1_241_4_action_salebrowseall
Arma 3,MilitaresAcciónMultijugadorSimuladoresDisparos,12 SEPT 2013,Muy positivas,| 151.059 Reseñas de usuarios,"-75%
$14.99
$3.74",https://store.steampowered.com/app/107410/Arma_3?snr=1_241_4_action_salebrowseall
Party Animals,CasualesMultijugadorDivertidosAdorablesJuegos de fiesta,20 SEPT 2023,Mayormente positivas,| 36.753 Reseñas de usuarios,$13.49,https://store.steampowered.com/app/1260320/Party_Animals?snr=1_241_4_action_salebrowseall
ARK: Survival Ascended,SupervivenciaMundo abiertoDinosauriosMultijugadorAventura,26 OCT 2023,Variadas,| 51.735 Reseñas de usuarios,$20.99,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended?snr=1_241_4_action_salebrowseall
Cyberpunk 2077: Phantom Liberty,RolContenido sexualCyberpunkMundo abiertoDesnudos,25 SEPT 2023,Muy positivas,| 15.112 Reseñas de usuarios,$22.49,https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty?snr=1_241_4_action_salebrowseall
Harry Potter: Campeones de quidditch,AcciónDeportesArcadeVueloTercera persona,3 SEPT 2024,,,"Precompra
$19.99",https://store.steampowered.com/app/2878600/Harry_Potter_Campeones_de_quidditch?snr=1_241_4_action_salebrowseall
Escape the Backrooms,TerrorMultijugadorCooperativos en líneaTerror psicológicoCooperativos,11 AGO 2022,Muy positivas,| 64.320 Reseñas de usuarios,$5.79,https://store.steampowered.com/app/1943950/Escape_the_Backrooms?snr=1_241_4_action_salebrowseall
Fallout 4,Mundo abiertoPosapocalípticosUn jugadorExploraciónRol,10 NOV 2015,Muy positivas,| 246.119 Reseñas de usuarios,$11.99,https://store.steampowered.com/app/377160/Fallout_4?snr=1_241_4_action_salebrowseall
